eventtitle;views;place;address;eventday;eventdate;request
Neujahrskonzert 2022 - Operettenmelodien u. Klassiker …;3806;Stadthalle Oberursel;61440 Oberursel, Rathausplatz 2;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Best of Musicals 2021/2022;1230;Congress Park Hanau;63450 Hanau, Am Schlossplatz 1;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Christmas Garden Frankfurt;1396;Deutsche Bank Park;60528 Frankfurt am Main, Mörfelder Lanstraße 362;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Great Christmas Circus Frankfurt;540;Circus Carl Busch;60385 Frankfurt am Main, Ratsweg;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Hanauer Weihnachtscircus - magisches Weihnachtsjubiläum;710;Circus Barus;63456 Hanau;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Internationale Revue 21/22;1138;Tigerpalast Varieté Theater;60313 Frankfurt am Main, Heiligkreuzgasse 16;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Öffentliche Führung;676;Römerkastell Saalburg;61350 Bad Homburg, Am Römerkastell 1;Sonntag;2022-01-02;2022-01-02T02:14:05.830761Z
Monday Mood;3614;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Montag;2022-01-03;2022-01-02T02:14:07.552483Z
China Girl - Chinesischer Nationalcircus: Liebe ist …;1662;bigBOX Allgäu;87435 Kempten, Kotterner Str. 64;Montag;2022-01-03;2022-01-02T02:14:07.552483Z
Christmas Garden Frankfurt;1136;Deutsche Bank Park;60528 Frankfurt am Main, Mörfelder Lanstraße 362;Montag;2022-01-03;2022-01-02T02:14:07.552483Z
Hanauer Weihnachtscircus - magisches Weihnachtsjubiläum;526;Circus Barus;63456 Hanau;Montag;2022-01-03;2022-01-02T02:14:07.552483Z
Simon & Garfunkel Tribute meets Classic;2169;Dreikönigskirche;60594 Frankfurt am Main, Dreikönigsstraße 30;Dienstag;2022-01-04;2022-01-02T02:14:09.562772Z
Christmas Garden Frankfurt;845;Deutsche Bank Park;60528 Frankfurt am Main, Mörfelder Lanstraße 362;Dienstag;2022-01-04;2022-01-02T02:14:09.562772Z
Hanauer Weihnachtscircus - magisches Weihnachtsjubiläum;465;Circus Barus;63456 Hanau;Dienstag;2022-01-04;2022-01-02T02:14:09.562772Z
Wochenmarkt Sachsenhausen;687;Wochenmarkt Sachsenhausen;60594 Frankfurt am Main, Diesterwegplatz 50;Dienstag;2022-01-04;2022-01-02T02:14:09.562772Z
Wochenmarkt und Markthalle Höchst;885;Markthalle und Wochenmarkt Höchst;65929 Frankfurt am Main, Höchster Markt 6;Dienstag;2022-01-04;2022-01-02T02:14:09.562772Z
Young Frankenstein;1975;The English Theatre;60329 Frankfurt am Main, Gallusanlage 7;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Christmas Garden Frankfurt;742;Deutsche Bank Park;60528 Frankfurt am Main, Mörfelder Lanstraße 362;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Hanauer Weihnachtscircus - magisches Weihnachtsjubiläum;402;Circus Barus;63456 Hanau;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Löwen Frankfurt;711;Löwen Frankfurt;60386 Frankfurt am Main, Am Bornheimer Hang 4;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Martinsvierteler Markt;645;Riegerplatz;64289 Darmstadt;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Neujahrskonzert;1418;bigBOX Allgäu;87435 Kempten, Kotterner Str. 64;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Wednesday Vibes;1653;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Wochenmarkt Bornheim;806;Wochenmarkt Bornheim;60385 Frankfurt am Main, Berger Straße 194;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Wochenmarkt Rödelheim;617;Wochenmarkt Rödelheim;60489 Frankfurt am Main, Arthur-Stern-Platz;Mittwoch;2022-01-05;2022-01-02T02:14:11.233790Z
Die Nacht der Musicals;1727;Kurtheater im Kurhaus;61348 Bad Homburg, Louisenstraße 58;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
Internationale Revue 21/22;1904;Tigerpalast Varieté Theater;60313 Frankfurt am Main, Heiligkreuzgasse 16;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
Christmas Garden Frankfurt;648;Deutsche Bank Park;60528 Frankfurt am Main, Mörfelder Lanstraße 362;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
Erzeugermarkt Konstablerwache;718;Erzeugermarkt Konstablerwache;60313 Frankfurt am Main, Konstablerwache;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
Hanauer Weihnachtscircus - magisches Weihnachtsjubiläum;378;Circus Barus;63456 Hanau;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
Kaisermarkt;533;Kaisermarkt;60329 Frankfurt am Main, Kaiserstraße 81;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
Urban Club Band;2486;Gibson Club;60313 Frankfurt am Main, Zeil 77;Donnerstag;2022-01-06;2022-01-02T02:14:12.760601Z
