eventtitle;views;place;address;eventday;eventdate;request
Frankfurt Coffee Festival 2021;131422;Union Halle;60314 Frankfurt am Main, Hanauer Landstraße 188;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Katermukke Mini Micro Festival I;3111;Tanzhaus West/Dora Brilliant;60327 Frankfurt am Main, Gutleutstraße 294;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Seewiesn Oktoberfest - O'zapft is: Alpenfuzzis Live;800;Wirtshaus am See;63796 Kahl, Emmerichshofen 3;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
alles 90er&00er Show;1167;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Batschkapp Sommergarten!;2258;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Blumenmarkt Liebfrauenberg;1132;Liebfrauenberg;60313 Frankfurt am Main, Liebfrauenberg;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Deutscher Buchpreis 2021 - Die Autorinnen und Autoren …;1403;Literaturhaus Frankfurt;60311 Frankfurt, Schöne Aussicht 2;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
FACE - FRATZ Album Release Party;1128;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Gallusmarkt;1249;Gallusmarkt;60326 Frankfurt am Main, Frankenallee 183;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Heiner Herbstvergnügen auf dem Messeplatz;1156;Darmstadt Messplatz;64289 Darmstadt, Marburgerstraße;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
hr-Sinfoniekonzert | Pastorale;1646;Alte Oper | Großer Saal;60313 Frankfurt am Main, Opernplatz 1;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Jo van Nelsen & Bernd Schmidt - Ich bin so wild nach …;1014;Romanfabrik;60314 Frankfurt am Main, Hanauer Landstraße 186;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Just #1 supported by Fitseveneleven;869;Gibson Club;60313 Frankfurt am Main, Zeil 77;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
K5 Chaconne;997;Johanniskirche;61476 Kronberg;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
K7 Im Traume;1488;Burg Kronberg;61476 Kronberg, Schlossstraße 10-12;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Klassisches BrauErlebnis;1174;Glaabsbräu GmbH & Co. KG;63500 Seligenstadt, Frankfurter Straße 9;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Kolektif Istanbul;713;Hafen 2;63067 Offenbach, Nordring 129;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Liza Kos - Intrigatiion;4305;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Mudhoney;3329;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Oktoberfest - Bayrische Gemütlichkeit;2067;Primus-Linie;60311 Frankfurt, Mainkai 36;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Psycho Village - Unstoppable Tour;2025;SCHANZ;63165 Mühlheim, Carl-Zeiss-Straße 6;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Sebastian 23 - Cogito, ergo dumm;1764;Die Käs;60316 Frankfurt am Main, Waldschmidtstr. 19;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Sissi Perlinger - „Die Perlingerin - Worum es …;992;Bürgerhaus Hausen;63179 Obertshausen, Tempelhoferstraße 10;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Ulisses Online Con 2021;7343;Ulisses Medien & Spiel Distribution GmbH;65529 Waldems, Industriestraße 11;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Urban Friday;2032;Cooky's;60311 Frankfurt, Am Salzhaus 4;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Urban Priol - Im Fluss;3211;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Velvet-Bar-Night;2338;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Wer kocht, schießt nicht - Eine Koch-Satire von …;1362;Stalburg Theater;60318 Frankfurt am Main, Glauburgstraße 80;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Wochenmarkt Sachsenhausen;1241;Wochenmarkt Sachsenhausen;60594 Frankfurt am Main, Diesterwegplatz 50;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Wochenmarkt und Markthalle Höchst;1352;Markthalle und Wochenmarkt Höchst;65929 Frankfurt am Main, Höchster Markt 6;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Yves Macak: R-zieher - Echt jetzt?!;4294;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Freitag;2021-10-01;2021-10-01T08:36:26.446514Z
Frankfurt Coffee Festival 2021;121115;Union Halle;60314 Frankfurt am Main, Hanauer Landstraße 188;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Notorious;3498;Cooky's;60311 Frankfurt, Am Salzhaus 4;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Seewiesn Oktoberfest - Seewiesn´Gaudi: Alpenfuzzis Live;548;Wirtshaus am See;63796 Kahl, Emmerichshofen 3;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Achtung Baby - U2 -Tributeband;3242;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Amigos & Stargast Daniela Alfinito - Für unsere …;4214;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Batschkapp Opening Party;957;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Batschkapp Sommergarten;2030;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Crew Love;429;Adlib;60314 Frankfurt am Main, Schwedler Straße 8;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Die A Cappella-Nacht;3731;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Die Frank Schöbel Story;3050;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Erzeugermarkt Konstablerwache;1009;Erzeugermarkt Konstablerwache;60313 Frankfurt am Main, Konstablerwache;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Eva Klesse Quartett - Creatures & States;814;Romanfabrik;60314 Frankfurt am Main, Hanauer Landstraße 186;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
FREILUFT Markt;2215;Börsenplatz;60313 Frankfurt am Main, Börsenplatz;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Garden of Delight - Celtic Party;951;SCHANZ;63165 Mühlheim, Carl-Zeiss-Straße 6;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Gernot Voltz - Pleiten, Pech & Populisten;1572;Die Käs;60316 Frankfurt am Main, Waldschmidtstr. 19;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Gibson Loves Saturdays;1766;Gibson Club;60313 Frankfurt am Main, Zeil 77;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Hafenkino: Toubab;475;Hafen 2;63067 Offenbach, Nordring 129;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Heiner Herbstvergnügen auf dem Messeplatz;913;Darmstadt Messplatz;64289 Darmstadt, Marburgerstraße;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
K11 Janoska Style;1426;Burg Kronberg;61476 Kronberg, Schlossstraße 10-12;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
K8 Perfect Storm;829;Johanniskirche;61476 Kronberg;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Katermukke Mini Micro Festival II;792;Tanzhaus West/Dora Brilliant;60327 Frankfurt am Main, Gutleutstraße 294;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Klassisches BrauErlebnis;1045;Glaabsbräu GmbH & Co. KG;63500 Seligenstadt, Frankfurter Straße 9;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Latin Summer;2159;Latin Palace Changó;60311 Frankfurt, Münchener Straße 57;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
Oktoberfest - Bayrische Gemütlichkeit;1678;Primus-Linie;60311 Frankfurt, Mainkai 36;Samstag;2021-10-02;2021-10-01T08:36:27.993025Z
