eventtitle;views;place;address;eventday;eventdate;request
Monday Mood;2196;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Montag;2021-11-01;2021-11-01T06:51:15.574309Z
Sasha Marianna Salzmann - Im Menschen muss alles …;1165;Literaturhaus Frankfurt;60311 Frankfurt, Schöne Aussicht 2;Montag;2021-11-01;2021-11-01T06:51:15.574309Z
Vernon Subutex Vol. I;795;Stalburg Theater;60318 Frankfurt am Main, Glauburgstraße 80;Montag;2021-11-01;2021-11-01T06:51:15.574309Z
Die Ärzte;21326;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Jo Lendle - Eine Art Familie;815;Literaturhaus Frankfurt;60311 Frankfurt, Schöne Aussicht 2;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
JURAcon;135;Kap Europa;60327 Frankfurt am Main, Osloer Straße 5;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Olaf der Flipper Geburtstagstour 2021 - Ein ganzes …;1607;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
UrRock Musik Festival 2020 - Tagespass Freitag;2760;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Vernon Subutex Vol. II;433;Stalburg Theater;60318 Frankfurt am Main, Glauburgstraße 80;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Walter Kammerhofer - Offline;1424;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Wochenmarkt Sachsenhausen;496;Wochenmarkt Sachsenhausen;60594 Frankfurt am Main, Diesterwegplatz 50;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Wochenmarkt und Markthalle Höchst;566;Markthalle und Wochenmarkt Höchst;65929 Frankfurt am Main, Höchster Markt 6;Dienstag;2021-11-02;2021-11-01T06:51:17.239783Z
Christine Prayon - Abschiedstour;2250;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Die Ärzte;15113;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Hat schon Gelb! Zeiglers wunderbare Welt des Fußballs …;2243;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Löwen Frankfurt;699;Löwen Frankfurt;60386 Frankfurt am Main, Am Bornheimer Hang 4;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Luis aus Südtirol - Speck mit Schmorrn;1626;Jahnturnhalle;64521 Groß-Gerau, Jahnstraße;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Martinsvierteler Markt;739;Riegerplatz;64289 Darmstadt;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Mathias Tretter - Sittenstrolch;1211;Die Käs;60316 Frankfurt am Main, Waldschmidtstr. 19;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Olaf der Flipper Geburtstagstour 2021 - Ein ganzes …;1522;Carl-Zuckmayer-Halle;55299 Nackenheim, Lörzweiler Straße 15;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Online Tour Bunte Götter;563;Liebieghaus Skulpturensammlung;60596 Frankfurt am Main, Schaumainkai 71;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Pärchenabend;557;Stalburg Theater;60318 Frankfurt am Main, Glauburgstraße 80;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Rea Garvey - Hy Brasil Tour 2021;2325;Hugenottenhalle;63263 Neu-Isenburg, Frankfurter Straße 152;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Textland IV: Von blinden Flecken und wie WIR sie …;950;Literaturhaus Frankfurt;60311 Frankfurt, Schöne Aussicht 2;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
The LOKAL Listener Spezial - Gregor Praml trifft John …;318;Mousonturm Saal;60316 Frankfurt am Main, Waldschmidtstraße 4;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
VERSCHOBEN | Low Roar;165;Das Bett;60326 Frankfurt am Main, Schmidtstraße 12;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Wednesday Vibes;1799;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
Wochenmarkt Bornheim;712;Wochenmarkt Bornheim;60385 Frankfurt am Main, Berger Straße 194;Mittwoch;2021-11-03;2021-11-01T06:51:18.750214Z
