parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.8525097,2021-06-24T15:01:00Z,191,0,1295,1[Anlagenring],2021-06-24T14:57:02.698Z
0.36096257,2021-06-24T15:01:00Z,478,0,748,4[Bahnhofsviertel],2021-06-24T14:57:02.698Z
0.7417004,2021-06-24T15:01:00Z,319,0,1235,5[Dom / Römer],2021-06-24T14:57:02.698Z
0.3736501,2021-06-24T15:01:00Z,1740,75,2778,2[Zeil],2021-06-24T14:57:02.698Z
0.84324324,2021-06-24T15:36:00Z,203,0,1295,1[Anlagenring],2021-06-24T15:32:01.991Z
0.3275401,2021-06-24T15:36:00Z,503,0,748,4[Bahnhofsviertel],2021-06-24T15:32:01.991Z
0.70121455,2021-06-24T15:36:00Z,369,0,1235,5[Dom / Römer],2021-06-24T15:32:01.991Z
0.3401728,2021-06-24T15:36:00Z,1833,75,2778,2[Zeil],2021-06-24T15:32:01.991Z
0.83088803,2021-06-24T15:56:00Z,219,0,1295,1[Anlagenring],2021-06-24T15:52:01.707Z
0.315508,2021-06-24T15:56:00Z,512,0,748,4[Bahnhofsviertel],2021-06-24T15:52:01.707Z
0.68502027,2021-06-24T15:56:00Z,389,0,1235,5[Dom / Römer],2021-06-24T15:52:01.707Z
0.3275738,2021-06-24T15:56:00Z,1868,75,2778,2[Zeil],2021-06-24T15:52:01.707Z
0.82857144,2021-06-24T16:01:00Z,222,0,1295,1[Anlagenring],2021-06-24T16:02:02.358Z
0.30882353,2021-06-24T16:01:00Z,517,0,748,4[Bahnhofsviertel],2021-06-24T16:02:02.358Z
0.68421054,2021-06-24T16:01:00Z,390,0,1235,5[Dom / Römer],2021-06-24T16:02:02.358Z
0.3214543,2021-06-24T16:01:00Z,1885,75,2778,2[Zeil],2021-06-24T16:02:02.358Z
0.8069498,2021-06-24T16:42:00Z,250,0,1295,1[Anlagenring],2021-06-24T16:42:00.252Z
0.28475937,2021-06-24T16:42:00Z,535,0,748,4[Bahnhofsviertel],2021-06-24T16:42:00.252Z
0.6404858,2021-06-24T16:42:00Z,444,0,1235,5[Dom / Römer],2021-06-24T16:42:00.252Z
0.29337654,2021-06-24T16:42:00Z,1963,75,2778,2[Zeil],2021-06-24T16:42:00.252Z
0.8015444,2021-06-24T17:02:00Z,257,0,1295,1[Anlagenring],2021-06-24T17:02:01.123Z
0.28208557,2021-06-24T17:02:00Z,537,0,748,4[Bahnhofsviertel],2021-06-24T17:02:01.123Z
0.62591094,2021-06-24T17:02:00Z,462,0,1235,5[Dom / Römer],2021-06-24T17:02:01.123Z
0.27177826,2021-06-24T17:02:00Z,2023,75,2778,2[Zeil],2021-06-24T17:02:01.123Z
0.7938224,2021-06-24T17:33:00Z,267,0,1295,1[Anlagenring],2021-06-24T17:32:00.361Z
0.26604277,2021-06-24T17:33:00Z,549,0,748,4[Bahnhofsviertel],2021-06-24T17:32:00.361Z
0.55465585,2021-06-24T17:33:00Z,550,0,1235,5[Dom / Römer],2021-06-24T17:32:00.361Z
0.25557956,2021-06-24T17:33:00Z,2068,75,2778,2[Zeil],2021-06-24T17:32:00.361Z
0.7953668,2021-06-24T17:48:00Z,265,0,1295,1[Anlagenring],2021-06-24T17:47:00.382Z
0.2606952,2021-06-24T17:48:00Z,553,0,748,4[Bahnhofsviertel],2021-06-24T17:47:00.382Z
0.5408907,2021-06-24T17:48:00Z,567,0,1235,5[Dom / Römer],2021-06-24T17:47:00.382Z
