parkingFacilityOccupancy,parkingFacilityStatus,parkingFacilityStatusTime,totalNumberOfOccupiedParkingSpaces,totalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityOverride,totalParkingCapacityShortTermOverride,id,TIME
0.05,open,2021-10-01T01:11:00Z,10,190,150,350,200,24276[Turmcenter],2021-10-01T01:12:02.350Z
0.11691542,open,2021-10-01T01:11:00Z,47,355,0,402,402,18944[Alte Oper],2021-10-01T01:12:02.350Z
0.0054945056,open,2021-10-01T01:11:00Z,2,362,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T01:12:02.350Z
0.5,open,2021-10-01T01:11:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T01:12:02.350Z
0.53646475,open,2021-10-01T01:11:00Z,434,375,0,809,809,24279[Konstabler],2021-10-01T01:12:02.350Z
0,closed,2021-10-01T01:11:00Z,,357,0,0,0,18495[Am Gericht],2021-10-01T01:12:02.350Z
0.089164786,open,2021-10-01T01:11:00Z,79,807,70,956,886,109240[MyZeil],2021-10-01T01:12:02.350Z
0.43533123,open,2021-10-01T01:11:00Z,276,358,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T01:12:02.350Z
0.05,open,2021-10-01T02:16:00Z,10,190,150,350,200,24276[Turmcenter],2021-10-01T02:17:00.850Z
0.11442786,open,2021-10-01T02:16:00Z,46,356,0,402,402,18944[Alte Oper],2021-10-01T02:17:00.850Z
0.0054945056,open,2021-10-01T02:16:00Z,2,362,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T02:17:00.850Z
0.5,open,2021-10-01T02:16:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T02:17:00.850Z
0.5290482,open,2021-10-01T02:16:00Z,428,381,0,809,809,24279[Konstabler],2021-10-01T02:17:00.850Z
0,closed,2021-10-01T02:16:00Z,,,0,0,0,18495[Am Gericht],2021-10-01T02:17:00.850Z
0.09029345,open,2021-10-01T02:16:00Z,80,806,70,956,886,109240[MyZeil],2021-10-01T02:17:00.850Z
0.4369085,open,2021-10-01T02:16:00Z,277,357,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T02:17:00.850Z
0.05,open,2021-10-01T02:46:00Z,10,190,150,350,200,24276[Turmcenter],2021-10-01T02:52:02.027Z
0.11442786,open,2021-10-01T02:46:00Z,46,356,0,402,402,18944[Alte Oper],2021-10-01T02:52:02.027Z
0.008241759,open,2021-10-01T02:46:00Z,3,361,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T02:52:02.027Z
0.5,open,2021-10-01T02:46:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T02:52:02.027Z
0.52286774,open,2021-10-01T02:46:00Z,423,386,0,809,809,24279[Konstabler],2021-10-01T02:52:02.027Z
0,closed,2021-10-01T02:46:00Z,,,0,0,0,18495[Am Gericht],2021-10-01T02:52:02.027Z
0.09029345,open,2021-10-01T02:46:00Z,80,806,70,956,886,109240[MyZeil],2021-10-01T02:52:02.027Z
0.44164038,open,2021-10-01T02:46:00Z,280,354,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T02:52:02.027Z
0.05,open,2021-10-01T03:11:00Z,10,190,150,350,200,24276[Turmcenter],2021-10-01T03:17:01.851Z
0.11442786,open,2021-10-01T03:11:00Z,46,356,0,402,402,18944[Alte Oper],2021-10-01T03:17:01.851Z
0.010989011,open,2021-10-01T03:11:00Z,4,360,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T03:17:01.851Z
0.5,open,2021-10-01T03:11:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T03:17:01.851Z
0.5241038,open,2021-10-01T03:11:00Z,424,385,0,809,809,24279[Konstabler],2021-10-01T03:17:01.851Z
0,closed,2021-10-01T03:11:00Z,,,0,0,0,18495[Am Gericht],2021-10-01T03:17:01.851Z
0.09029345,open,2021-10-01T03:11:00Z,80,806,70,956,886,109240[MyZeil],2021-10-01T03:17:01.851Z
0.44164038,open,2021-10-01T03:11:00Z,280,354,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T03:17:01.851Z
0.1,open,2021-10-01T03:26:00Z,20,180,150,350,200,24276[Turmcenter],2021-10-01T03:32:01.294Z
0.11442786,open,2021-10-01T03:26:00Z,46,356,0,402,402,18944[Alte Oper],2021-10-01T03:32:01.294Z
0.010989011,open,2021-10-01T03:26:00Z,4,360,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T03:32:01.294Z
0.5,open,2021-10-01T03:26:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T03:32:01.294Z
0.52286774,open,2021-10-01T03:26:00Z,423,386,0,809,809,24279[Konstabler],2021-10-01T03:32:01.294Z
0,closed,2021-10-01T03:26:00Z,,,0,0,0,18495[Am Gericht],2021-10-01T03:32:01.294Z
0.09029345,open,2021-10-01T03:26:00Z,80,806,70,956,886,109240[MyZeil],2021-10-01T03:32:01.294Z
0.44321766,open,2021-10-01T03:26:00Z,281,353,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T03:32:01.294Z
0.1,open,2021-10-01T03:37:00Z,20,180,150,350,200,24276[Turmcenter],2021-10-01T03:42:01.970Z
0.11442786,open,2021-10-01T03:37:00Z,46,356,0,402,402,18944[Alte Oper],2021-10-01T03:42:01.970Z
0.008241759,open,2021-10-01T03:37:00Z,3,361,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T03:42:01.970Z
0.5,open,2021-10-01T03:37:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T03:42:01.970Z
0.52286774,open,2021-10-01T03:37:00Z,423,386,0,809,809,24279[Konstabler],2021-10-01T03:42:01.970Z
0,closed,2021-10-01T03:37:00Z,,,0,0,0,18495[Am Gericht],2021-10-01T03:42:01.970Z
0.09029345,open,2021-10-01T03:37:00Z,80,806,70,956,886,109240[MyZeil],2021-10-01T03:42:01.970Z
0.44479495,open,2021-10-01T03:37:00Z,282,352,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T03:42:01.970Z
0.1,open,2021-10-01T03:52:00Z,20,180,150,350,200,24276[Turmcenter],2021-10-01T03:57:01.860Z
0.11442786,open,2021-10-01T03:52:00Z,46,356,0,402,402,18944[Alte Oper],2021-10-01T03:57:01.860Z
0.016483517,open,2021-10-01T03:52:00Z,6,358,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T03:57:01.860Z
0.5,open,2021-10-01T03:52:00Z,213,213,0,426,426,18497[Hauptwache],2021-10-01T03:57:01.860Z
0.52286774,open,2021-10-01T03:52:00Z,423,386,0,809,809,24279[Konstabler],2021-10-01T03:57:01.860Z
0,closed,2021-10-01T03:52:00Z,,,0,0,0,18495[Am Gericht],2021-10-01T03:57:01.860Z
0.09029345,open,2021-10-01T03:52:00Z,80,806,70,956,886,109240[MyZeil],2021-10-01T03:57:01.860Z
0.44637224,open,2021-10-01T03:52:00Z,283,351,0,634,634,18494[Konrad-Adenauer-Straße],2021-10-01T03:57:01.860Z
0.13333334,open,2021-10-01T04:17:00Z,20,130,200,350,150,24276[Turmcenter],2021-10-01T04:22:02.275Z
0.12437811,open,2021-10-01T04:17:00Z,50,352,0,402,402,18944[Alte Oper],2021-10-01T04:22:02.275Z
0.052197803,open,2021-10-01T04:17:00Z,19,345,0,364,364,24281[Hauptbahnhof Süd],2021-10-01T04:22:02.275Z
0.5023474,open,2021-10-01T04:17:00Z,214,212,0,426,426,18497[Hauptwache],2021-10-01T04:22:02.275Z
0.52657604,open,2021-10-01T04:17:00Z,426,383,0,809,809,24279[Konstabler],2021-10-01T04:22:02.275Z
0.49117646,open,2021-10-01T04:17:00Z,334,346,0,680,680,18495[Am Gericht],2021-10-01T04:22:02.275Z
0.09142212,open,2021-10-01T04:17:00Z,81,805,70,956,886,109240[MyZeil],2021-10-01T04:22:02.275Z
